RQ Aar 1 hi
RQ Abb 7 lo
RQ Abd 7 lo
RQ Abe 12 lo
RQ Ace 3 lo
RQ Acy 2 hi
RQ Ada 12 lo
RQ Add 12 lo
RQ Agr 3 hi
RQ Aja 8 lo
RQ Aka 1 hi
CA Abb
RQ Ala 6 lo
CA Aka
RQ Ale 2 hi
RQ Alf 1 hi
RQ Ali 2 lo
RQ All 2 hi
RQ Alv 2 hi
RQ Ama 7 hi
RQ Ame 8 hi
RQ Ami 3 hi
RQ Amy 12 hi
RQ Ana 2 hi
RQ And 1 hi
RQ Anh 7 hi
RQ Anj 7 hi
RQ Ann 5 lo
RQ Ant 7 hi
RQ Ara 12 hi
RQ Ari 8 hi
CA Ana
RQ Art 6 lo
RQ Asa 5 hi
RQ Ash 3 lo
RQ Aus 3 hi
RQ Ava 5 hi
RQ Aya 2 lo
RQ Bea 6 hi
RQ Bee 7 lo
RQ Ben 6 hi
RQ Bet 5 lo
RQ Bev 7 lo
RQ Bla 10 hi
RQ Bob 1 hi
RQ Bra 7 lo
RQ Bre 8 hi
RQ Bri 12 hi
RQ Bro 4 lo
RQ Bud 3 hi
PR
QU
